Rent ID,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,Year,Province_id,Centre_id,Zone_id,Neighbourhood_id,Dwelling_id
Rent_212,541.0,685.0,707.0,753.0,701.0,2018,Province4,centre6,Zone49,Neighbourhood104,Dwelling2
Rent_213,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone49,Neighbourhood105,Dwelling1
Rent_214,0.0,608.0,682.0,819.0,723.0,2018,Province4,centre6,Zone49,Neighbourhood105,Dwelling2
Rent_215,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone50,Neighbourhood106,Dwelling1
Rent_216,0.0,613.0,748.0,1028.0,748.0,2018,Province4,centre6,Zone50,Neighbourhood106,Dwelling2
Rent_217,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone50,Neighbourhood107,Dwelling1
Rent_218,0.0,819.0,786.0,0.0,803.0,2018,Province4,centre6,Zone50,Neighbourhood107,Dwelling2
Rent_219,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone51,Neighbourhood108,Dwelling1
Rent_220,538.0,613.0,755.0,912.0,756.0,2018,Province4,centre6,Zone51,Neighbourhood108,Dwelling2
Rent_221,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone51,Neighbourhood109,Dwelling1
Rent_222,0.0,683.0,773.0,831.0,777.0,2018,Province4,centre6,Zone51,Neighbourhood109,Dwelling2
Rent_223,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone51,Neighbourhood110,Dwelling1
Rent_224,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone51,Neighbourhood110,Dwelling2
Rent_225,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone52,Neighbourhood111,Dwelling1
Rent_226,0.0,686.0,765.0,865.0,784.0,2018,Province4,centre6,Zone52,Neighbourhood111,Dwelling2
Rent_227,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone52,Neighbourhood112,Dwelling1
Rent_228,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone52,Neighbourhood112,Dwelling2
Rent_229,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone52,Neighbourhood113,Dwelling1
Rent_230,538.0,679.0,719.0,781.0,719.0,2018,Province4,centre6,Zone52,Neighbourhood113,Dwelling2
